"";"Methode";"alpha";"beta";"sigma2"
"1";"EM";0,0219347064511436;0,977825163546449;0,155970985903464
"2";"Boot";0,0737561380546103;0,998622911690118;0,212931376557812
"3";"Post";0,0618484935781581;0,978724288754461;0,257321529040159
"4";"Moy";0,055129260866195;0,70265713692871;0,0647105479493992
"5";"Reg. Lin.";0,0570255456217461;0,977384702697965;0,047625812214872
"6";"Reg. Lin. Sto.";0,060741685887842;0,973972657351686;0,179082415825507
"7";"EM";0,0367278225517804;1,11503624989751;0,123518612989498
"8";"Boot";0,095085514845449;1,10053156962895;0,165710364422335
"9";"Post";0,0897417656490987;1,11099763490125;0,200623005272381
"10";"Moy";0,175853388316689;0,757496785906084;0,0737829244904936
"11";"Reg. Lin.";0,0956224244334175;1,10891434295887;0,0422242852118658
"12";"Reg. Lin. Sto.";0,0947971009476739;1,10830576489353;0,136206802545418
"13";"EM";0,0371389087108963;0,941832330812221;0,160797852259609
"14";"Boot";0,0546840517291588;0,937071319862811;0,217652131932972
"15";"Post";0,0924513091010074;0,930403809539477;0,259748823121429
"16";"Moy";0,123736195441804;0,575464871645302;0,0739725520747584
"17";"Reg. Lin.";0,0965648748747479;0,940443114719649;0,0481788029583738
"18";"Reg. Lin. Sto.";0,0958260263717326;0,946654339256898;0,183733821611528
"19";"EM";0,00756124339471246;1,08374446111946;0,137111415814797
"20";"Boot";0,0207795031512954;1,07920185046807;0,182721123489228
"21";"Post";0,0219608385758405;1,08227124323537;0,231850049445826
"22";"Moy";-0,0409359815217735;0,728069425102501;0,0710230112805921
"23";"Reg. Lin.";0,0196905439074725;1,0841195942136;0,0447893880590127
"24";"Reg. Lin. Sto.";0,018698408435709;1,08124534495611;0,155743186722162
"25";"EM";-0,0308117884508083;0,889648651942369;0,128747981454907
"26";"Boot";-0,0766125429287848;0,895677993006356;0,173191126565798
"27";"Post";-0,0808342385621723;0,893617603894858;0,207106739163145
"28";"Moy";-0,100731591543866;0,627226509615336;0,0630387290666295
"29";"Reg. Lin.";-0,0801644680100175;0,889161914345981;0,0434772324320098
"30";"Reg. Lin. Sto.";-0,0865848447697047;0,891722382951399;0,146238793150479
"31";"EM";0,0316612490786778;1,02564855213989;0,157715699505638
"32";"Boot";0,0942773112641253;1,03134006925358;0,21013187011851
"33";"Post";0,0808991201799495;1,03328507479511;0,255206528281213
"34";"Moy";-0,024131886149284;0,700519505589971;0,079135348370088
"35";"Reg. Lin.";0,0828146469211032;1,03131374051701;0,0477677025654084
"36";"Reg. Lin. Sto.";0,090132300797629;1,03488276300332;0,183194581818058
"37";"EM";-0,0120919231930699;0,972864223167908;0,154203595951277
"38";"Boot";-0,0369041644601467;0,988580336404497;0,209417408236649
"39";"Post";-0,0390091219947506;0,983015255795299;0,258239754079187
"40";"Moy";0,283070503902408;0,570826931302487;0,0774229530766541
"41";"Reg. Lin.";-0,0337286794038775;0,978252620743598;0,0480567090980853
"42";"Reg. Lin. Sto.";-0,0298074911233322;0,976112089062912;0,176108801328599
